Customer ID,Product,Quantity,Unit Price (USD),Total Price (USD),Purchase Date,Customer Name,Industry,Annual Revenue (USD),Number of Employees,Customer Priority,Rating,Account Type,Location,Current Products,Product Usage (%),Cross-Sell Synergy,Last Activity Date,Opportunity Stage,Opportunity Amount (USD),Opportunity Type,Competitors,Activity Status,Activity Priority,Activity Type,Product SKU
C004,Safety Gear,10,1000,10000,11/24/2024,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm,Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",11/19/2024,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C004,Protective Gloves,2,500,1000,11/13/2024,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm,Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",11/19/2024,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C003,API Integrations,9,1000,9000,10/29/2024,Pyramid Construction Inc.,Construction,950000000,2680,High,Warm,Customer - Channel,"Paris, France",Advanced Analytics,70,"Workflow Automation, G",11/19/2024,Prospecting,10000,Existing Customer - Upgrade,Caterpillar,Open,High,Call,GC5020
C001,Workflow Automation,1,500,500,7/11/2024,Edge Communications,Electronics,139000000,1000,Medium,Hot,Customer - Direct,"Austin, TX, USA",Core Management Platform,100,"Collaboration Suite, E",11/19/2024,Closed Won,75000,New Customer,"John Deere, Mitsubishi",Completed,High,Call,GC1060
C004,Drill Bits,6,100,600,9/4/2024,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm,Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",11/19/2024,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C004,Generators,5,1000,5000,12/12/2024,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm,Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",11/19/2024,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C005,Drills,2,750,1500,11/6/2024,United Oil & Gas Corp.,Energy,5600000000,145000,High,Hot,Customer - Direct,"New York, NY, USA",Workflow Automation,60,"AI Insights Module, J",11/19/2024,Negotiation/Review,270000,Existing Customer - Upgrade,"Caterpillar, Hawkpower",Open,Medium,Call,SL9080
C002,Collaboration Suite,5,250,1250,6/16/2024,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm,Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",11/19/2024,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C004,Safety Gear,8,100,800,1/1/2025,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm,Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",11/19/2024,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C002,Backup Batteries,7,500,3500,11/30/2024,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm,Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",11/19/2024,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C005,Safety Gear,9,250,2250,12/4/2024,United Oil & Gas Corp.,Energy,5600000000,145000,High,Hot,Customer - Direct,"New York, NY, USA",Workflow Automation,60,"AI Insights Module, J",11/19/2024,Negotiation/Review,270000,Existing Customer - Upgrade,"Caterpillar, Hawkpower",Open,Medium,Call,SL9080
C001,Generators,4,100,400,5/10/2025,Edge Communications,Electronics,139000000,1000,Medium,Hot,Customer - Direct,"Austin, TX, USA",Core Management Platform,100,"Collaboration Suite, E",11/19/2024,Closed Won,75000,New Customer,"John Deere, Mitsubishi",Completed,High,Call,GC1060
C002,Workflow Automation,8,1000,8000,6/27/2024,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm,Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",11/19/2024,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C004,Backup Batteries,8,100,800,4/2/2025,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm,Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",11/19/2024,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C004,Generators,8,100,800,11/8/2024,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm,Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",11/19/2024,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C005,Collaboration Suite,9,500,4500,1/20/2025,United Oil & Gas Corp.,Energy,5600000000,145000,High,Hot,Customer - Direct,"New York, NY, USA",Workflow Automation,60,"AI Insights Module, J",11/19/2024,Negotiation/Review,270000,Existing Customer - Upgrade,"Caterpillar, Hawkpower",Open,Medium,Call,SL9080
C004,Generators,6,750,4500,11/19/2024,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm,Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",11/19/2024,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C002,Safety Gear,1,750,750,2/7/2025,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm,Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",11/19/2024,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C004,Generators,3,100,300,1/26/2025,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm,Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",11/19/2024,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C004,API Integrations,6,1000,6000,2/28/2025,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm,Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",11/19/2024,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C003,Safety Gear,10,100,1000,3/28/2025,Pyramid Construction Inc.,Construction,950000000,2680,High,Warm,Customer - Channel,"Paris, France",Advanced Analytics,70,"Workflow Automation, G",11/19/2024,Prospecting,10000,Existing Customer - Upgrade,Caterpillar,Open,High,Call,GC5020
C001,Protective Gloves,1,100,100,11/27/2024,Edge Communications,Electronics,139000000,1000,Medium,Hot,Customer - Direct,"Austin, TX, USA",Core Management Platform,100,"Collaboration Suite, E",11/19/2024,Closed Won,75000,New Customer,"John Deere, Mitsubishi",Completed,High,Call,GC1060
C005,Workflow Automation,2,250,500,12/3/2024,United Oil & Gas Corp.,Energy,5600000000,145000,High,Hot,Customer - Direct,"New York, NY, USA",Workflow Automation,60,"AI Insights Module, J",11/19/2024,Negotiation/Review,270000,Existing Customer - Upgrade,"Caterpillar, Hawkpower",Open,Medium,Call,SL9080
C005,Collaboration Suite,2,250,500,7/25/2024,United Oil & Gas Corp.,Energy,5600000000,145000,High,Hot,Customer - Direct,"New York, NY, USA",Workflow Automation,60,"AI Insights Module, J",11/19/2024,Negotiation/Review,270000,Existing Customer - Upgrade,"Caterpillar, Hawkpower",Open,Medium,Call,SL9080
C001,Workflow Automation,10,500,5000,5/8/2025,Edge Communications,Electronics,139000000,1000,Medium,Hot,Customer - Direct,"Austin, TX, USA",Core Management Platform,100,"Collaboration Suite, E",11/19/2024,Closed Won,75000,New Customer,"John Deere, Mitsubishi",Completed,High,Call,GC1060
C005,API Integrations,8,1000,8000,9/7/2024,United Oil & Gas Corp.,Energy,5600000000,145000,High,Hot,Customer - Direct,"New York, NY, USA",Workflow Automation,60,"AI Insights Module, J",11/19/2024,Negotiation/Review,270000,Existing Customer - Upgrade,"Caterpillar, Hawkpower",Open,Medium,Call,SL9080
C003,Workflow Automation,6,250,1500,12/17/2024,Pyramid Construction Inc.,Construction,950000000,2680,High,Warm,Customer - Channel,"Paris, France",Advanced Analytics,70,"Workflow Automation, G",11/19/2024,Prospecting,10000,Existing Customer - Upgrade,Caterpillar,Open,High,Call,GC5020
C002,Workflow Automation,1,750,750,1/19/2025,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm,Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",11/19/2024,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
